Employee_ID,Attrition_rate
EID_22713,0.18937612857142858
EID_9658,0.18937612857142858
EID_22203,0.18937612857142858
EID_7652,0.18937612857142858
EID_6516,0.18937612857142858
EID_20283,0.18937612857142858
EID_21014,0.18937612857142858
EID_7693,0.18937612857142858
EID_13232,0.18937612857142858
EID_6515,0.18937612857142858
EID_13639,0.18937612857142858
EID_14669,0.18937612857142858
EID_16537,0.18937612857142858
EID_5782,0.18937612857142858
EID_20157,0.18937612857142858
EID_1855,0.18937612857142858
EID_20748,0.18937612857142858
EID_23179,0.18937612857142858
EID_12838,0.18937612857142858
EID_21656,0.18937612857142858
EID_8844,0.18937612857142858
EID_1536,0.18937612857142858
EID_8822,0.18937612857142858
EID_11398,0.18937612857142858
EID_12965,0.18937612857142858
EID_5204,0.18937612857142858
EID_10030,0.18937612857142858
EID_13227,0.18937612857142858
EID_20607,0.18937612857142858
EID_14070,0.18937612857142858
EID_3755,0.18937612857142858
EID_5459,0.18937612857142858
EID_7697,0.18937612857142858
EID_3935,0.18937612857142858
EID_19046,0.18937612857142858
EID_4040,0.18937612857142858
EID_17730,0.18937612857142858
EID_4995,0.18937612857142858
EID_24653,0.18937612857142858
EID_6978,0.18937612857142858
EID_13775,0.18937612857142858
EID_14608,0.18937612857142858
EID_3148,0.18937612857142858
EID_24868,0.18937612857142858
EID_5521,0.18937612857142858
EID_21155,0.18937612857142858
EID_3840,0.18937612857142858
EID_10646,0.18937612857142858
EID_6711,0.18937612857142858
EID_16247,0.18937612857142858
EID_16789,0.18937612857142858
EID_17967,0.18937612857142858
EID_13270,0.18937612857142858
EID_18462,0.18937612857142858
EID_22248,0.18937612857142858
EID_22693,0.18937612857142858
EID_25662,0.18937612857142858
EID_23346,0.18937612857142858
EID_4437,0.18937612857142858
EID_18108,0.18937612857142858
EID_7000,0.18937612857142858
EID_22770,0.18937612857142858
EID_7816,0.18937612857142858
EID_19615,0.18937612857142858
EID_23807,0.18937612857142858
EID_16764,0.18937612857142858
EID_16818,0.18937612857142858
EID_22712,0.18937612857142858
EID_18198,0.18937612857142858
EID_11154,0.18937612857142858
EID_22137,0.18937612857142858
EID_11655,0.18937612857142858
EID_18514,0.18937612857142858
EID_24742,0.18937612857142858
EID_16019,0.18937612857142858
EID_7357,0.18937612857142858
EID_20106,0.18937612857142858
EID_13284,0.18937612857142858
EID_5451,0.18937612857142858
EID_19728,0.18937612857142858
EID_9178,0.18937612857142858
EID_13177,0.18937612857142858
EID_14300,0.18937612857142858
EID_4379,0.18937612857142858
EID_11285,0.18937612857142858
EID_14882,0.18937612857142858
EID_9969,0.18937612857142858
EID_23643,0.18937612857142858
EID_5935,0.18937612857142858
EID_7741,0.18937612857142858
EID_6176,0.18937612857142858
EID_5418,0.18937612857142858
EID_20626,0.18937612857142858
EID_1725,0.18937612857142858
EID_14317,0.18937612857142858
EID_12120,0.18937612857142858
EID_20264,0.18937612857142858
EID_16691,0.18937612857142858
EID_1093,0.18937612857142858
EID_2565,0.18937612857142858
EID_11463,0.18937612857142858
EID_12005,0.18937612857142858
EID_10326,0.18937612857142858
EID_12582,0.18937612857142858
EID_18228,0.18937612857142858
EID_11670,0.18937612857142858
EID_24257,0.18937612857142858
EID_7024,0.18937612857142858
EID_10382,0.18937612857142858
EID_20210,0.18937612857142858
EID_10294,0.18937612857142858
EID_19941,0.18937612857142858
EID_25572,0.18937612857142858
EID_7758,0.18937612857142858
EID_22718,0.18937612857142858
EID_1078,0.18937612857142858
EID_8227,0.18937612857142858
EID_1702,0.18937612857142858
EID_3532,0.18937612857142858
EID_22452,0.18937612857142858
EID_3019,0.18937612857142858
EID_22264,0.18937612857142858
EID_9866,0.18937612857142858
EID_3520,0.18937612857142858
EID_21098,0.18937612857142858
EID_1186,0.18937612857142858
EID_12355,0.18937612857142858
EID_11020,0.18937612857142858
EID_19193,0.18937612857142858
EID_17787,0.18937612857142858
EID_13719,0.18937612857142858
EID_24449,0.18937612857142858
EID_12957,0.18937612857142858
EID_24794,0.18937612857142858
EID_2866,0.18937612857142858
EID_10563,0.18937612857142858
EID_22492,0.18937612857142858
EID_4106,0.18937612857142858
EID_6648,0.18937612857142858
EID_7209,0.18937612857142858
EID_9692,0.18937612857142858
EID_22763,0.18937612857142858
EID_12622,0.18937612857142858
EID_9831,0.18937612857142858
EID_5731,0.18937612857142858
EID_1114,0.18937612857142858
EID_25017,0.18937612857142858
EID_22956,0.18937612857142858
EID_5549,0.18937612857142858
EID_12022,0.18937612857142858
EID_8034,0.18937612857142858
EID_20644,0.18937612857142858
EID_20125,0.18937612857142858
EID_21957,0.18937612857142858
EID_8870,0.18937612857142858
EID_2305,0.18937612857142858
EID_3977,0.18937612857142858
EID_14845,0.18937612857142858
EID_6629,0.18937612857142858
EID_14577,0.18937612857142858
EID_24509,0.18937612857142858
EID_1530,0.18937612857142858
EID_21524,0.18937612857142858
EID_6647,0.18937612857142858
EID_19730,0.18937612857142858
EID_4424,0.18937612857142858
EID_7964,0.18937612857142858
EID_6289,0.18937612857142858
EID_2899,0.18937612857142858
EID_2827,0.18937612857142858
EID_8801,0.18937612857142858
EID_20454,0.18937612857142858
EID_18988,0.18937612857142858
EID_8405,0.18937612857142858
EID_14497,0.18937612857142858
EID_11769,0.18937612857142858
EID_21353,0.18937612857142858
EID_2221,0.18937612857142858
EID_13218,0.18937612857142858
EID_4576,0.18937612857142858
EID_17470,0.18937612857142858
EID_14817,0.18937612857142858
EID_21845,0.18937612857142858
EID_21987,0.18937612857142858
EID_1168,0.18937612857142858
EID_14315,0.18937612857142858
EID_5043,0.18937612857142858
EID_1967,0.18937612857142858
EID_22274,0.18937612857142858
EID_11091,0.18937612857142858
EID_18421,0.18937612857142858
EID_8316,0.18937612857142858
EID_13308,0.18937612857142858
EID_19481,0.18937612857142858
EID_17732,0.18937612857142858
EID_4504,0.18937612857142858
EID_2539,0.18937612857142858
EID_19529,0.18937612857142858
EID_2279,0.18937612857142858
EID_14508,0.18937612857142858
EID_12241,0.18937612857142858
EID_11530,0.18937612857142858
EID_20147,0.18937612857142858
EID_6154,0.18937612857142858
EID_3523,0.18937612857142858
EID_20453,0.18937612857142858
EID_11929,0.18937612857142858
EID_12840,0.18937612857142858
EID_22320,0.18937612857142858
EID_25383,0.18937612857142858
EID_10731,0.18937612857142858
EID_1017,0.18937612857142858
EID_1819,0.18937612857142858
EID_22849,0.18937612857142858
EID_12290,0.18937612857142858
EID_24238,0.18937612857142858
EID_3105,0.18937612857142858
EID_14242,0.18937612857142858
EID_16569,0.18937612857142858
EID_8094,0.18937612857142858
EID_7824,0.18937612857142858
EID_8978,0.18937612857142858
EID_25314,0.18937612857142858
EID_17810,0.18937612857142858
EID_14856,0.18937612857142858
EID_22144,0.18937612857142858
EID_23603,0.18937612857142858
EID_7211,0.18937612857142858
EID_19340,0.18937612857142858
EID_1501,0.18937612857142858
EID_22111,0.18937612857142858
EID_16147,0.18937612857142858
EID_16746,0.18937612857142858
EID_20777,0.18937612857142858
EID_12999,0.18937612857142858
EID_21663,0.18937612857142858
EID_11862,0.18937612857142858
EID_17683,0.18937612857142858
EID_19819,0.18937612857142858
EID_21562,0.18937612857142858
EID_24390,0.18937612857142858
EID_14444,0.18937612857142858
EID_3261,0.18937612857142858
EID_7752,0.18937612857142858
EID_3033,0.18937612857142858
EID_22433,0.18937612857142858
EID_23727,0.18937612857142858
EID_24107,0.18937612857142858
EID_22537,0.18937612857142858
EID_13645,0.18937612857142858
EID_16021,0.18937612857142858
EID_19800,0.18937612857142858
EID_1944,0.18937612857142858
EID_15868,0.18937612857142858
EID_22188,0.18937612857142858
EID_13833,0.18937612857142858
EID_15028,0.18937612857142858
EID_24861,0.18937612857142858
EID_13033,0.18937612857142858
EID_23673,0.18937612857142858
EID_13265,0.18937612857142858
EID_23411,0.18937612857142858
EID_3761,0.18937612857142858
EID_7299,0.18937612857142858
EID_2379,0.18937612857142858
EID_18863,0.18937612857142858
EID_12115,0.18937612857142858
EID_23879,0.18937612857142858
EID_16586,0.18937612857142858
EID_19003,0.18937612857142858
EID_11107,0.18937612857142858
EID_15416,0.18937612857142858
EID_19214,0.18937612857142858
EID_5135,0.18937612857142858
EID_22464,0.18937612857142858
EID_22759,0.18937612857142858
EID_17833,0.18937612857142858
EID_17627,0.18937612857142858
EID_25730,0.18937612857142858
EID_2377,0.18937612857142858
EID_18085,0.18937612857142858
EID_14096,0.18937612857142858
EID_8384,0.18937612857142858
EID_17105,0.18937612857142858
EID_9929,0.18937612857142858
EID_13267,0.18937612857142858
EID_12954,0.18937612857142858
EID_4464,0.18937612857142858
EID_11464,0.18937612857142858
EID_19308,0.18937612857142858
EID_17530,0.18937612857142858
EID_6981,0.18937612857142858
EID_19951,0.18937612857142858
EID_1100,0.18937612857142858
EID_25145,0.18937612857142858
EID_15614,0.18937612857142858
EID_2961,0.18937612857142858
EID_1742,0.18937612857142858
EID_2843,0.18937612857142858
EID_9549,0.18937612857142858
EID_12832,0.18937612857142858
EID_17914,0.18937612857142858
EID_22832,0.18937612857142858
EID_5755,0.18937612857142858
EID_1141,0.18937612857142858
EID_18954,0.18937612857142858
EID_10824,0.18937612857142858
EID_24478,0.18937612857142858
EID_14916,0.18937612857142858
EID_4434,0.18937612857142858
EID_23650,0.18937612857142858
EID_16556,0.18937612857142858
EID_24656,0.18937612857142858
EID_25965,0.18937612857142858
EID_9279,0.18937612857142858
EID_13802,0.18937612857142858
EID_2748,0.18937612857142858
EID_17346,0.18937612857142858
EID_1171,0.18937612857142858
EID_1552,0.18937612857142858
EID_20674,0.18937612857142858
EID_2475,0.18937612857142858
EID_16714,0.18937612857142858
EID_7857,0.18937612857142858
EID_3294,0.18937612857142858
EID_2280,0.18937612857142858
EID_10203,0.18937612857142858
EID_22162,0.18937612857142858
EID_10438,0.18937612857142858
EID_12898,0.18937612857142858
EID_4358,0.18937612857142858
EID_6179,0.18937612857142858
EID_2538,0.18937612857142858
EID_13110,0.18937612857142858
EID_24585,0.18937612857142858
EID_1006,0.18937612857142858
EID_11632,0.18937612857142858
EID_21011,0.18937612857142858
EID_16869,0.18937612857142858
EID_20564,0.18937612857142858
EID_12996,0.18937612857142858
EID_1503,0.18937612857142858
EID_23053,0.18937612857142858
EID_22049,0.18937612857142858
EID_4346,0.18937612857142858
EID_1887,0.18937612857142858
EID_16849,0.18937612857142858
EID_10071,0.18937612857142858
EID_11265,0.18937612857142858
EID_12611,0.18937612857142858
EID_25542,0.18937612857142858
EID_11582,0.18937612857142858
EID_19550,0.18937612857142858
EID_5351,0.18937612857142858
EID_3305,0.18937612857142858
EID_18846,0.18937612857142858
EID_24764,0.18937612857142858
EID_2191,0.18937612857142858
EID_6314,0.18937612857142858
EID_23248,0.18937612857142858
EID_4570,0.18937612857142858
EID_16415,0.18937612857142858
EID_11002,0.18937612857142858
EID_20498,0.18937612857142858
EID_7846,0.18937612857142858
EID_24121,0.18937612857142858
EID_7536,0.18937612857142858
EID_2015,0.18937612857142858
EID_7934,0.18937612857142858
EID_20903,0.18937612857142858
EID_17535,0.18937612857142858
EID_19760,0.18937612857142858
EID_9550,0.18937612857142858
EID_4261,0.18937612857142858
EID_19753,0.18937612857142858
EID_13542,0.18937612857142858
EID_24283,0.18937612857142858
EID_7552,0.18937612857142858
EID_11577,0.18937612857142858
EID_3228,0.18937612857142858
EID_17468,0.18937612857142858
EID_15815,0.18937612857142858
EID_2093,0.18937612857142858
EID_21356,0.18937612857142858
EID_12357,0.18937612857142858
EID_18495,0.18937612857142858
EID_5098,0.18937612857142858
EID_12691,0.18937612857142858
EID_13240,0.18937612857142858
EID_19312,0.18937612857142858
EID_23914,0.18937612857142858
EID_23175,0.18937612857142858
EID_15413,0.18937612857142858
EID_4785,0.18937612857142858
EID_25933,0.18937612857142858
EID_22705,0.18937612857142858
EID_19350,0.18937612857142858
EID_5369,0.18937612857142858
EID_20410,0.18937612857142858
EID_12557,0.18937612857142858
EID_17678,0.18937612857142858
EID_1342,0.18937612857142858
EID_12230,0.18937612857142858
EID_1311,0.18937612857142858
EID_5860,0.18937612857142858
EID_4259,0.18937612857142858
EID_10209,0.18937612857142858
EID_2300,0.18937612857142858
EID_17408,0.18937612857142858
EID_1883,0.18937612857142858
EID_1053,0.18937612857142858
EID_23610,0.18937612857142858
EID_17585,0.18937612857142858
EID_20845,0.18937612857142858
EID_15683,0.18937612857142858
EID_11976,0.18937612857142858
EID_12031,0.18937612857142858
EID_1711,0.18937612857142858
EID_6239,0.18937612857142858
EID_25541,0.18937612857142858
EID_9308,0.18937612857142858
EID_18168,0.18937612857142858
EID_11934,0.18937612857142858
EID_23472,0.18937612857142858
EID_13731,0.18937612857142858
EID_16069,0.18937612857142858
EID_18276,0.18937612857142858
EID_6141,0.18937612857142858
EID_12061,0.18937612857142858
EID_9450,0.18937612857142858
EID_21730,0.18937612857142858
EID_19506,0.18937612857142858
EID_13552,0.18937612857142858
EID_9945,0.18937612857142858
EID_1924,0.18937612857142858
EID_18453,0.18937612857142858
EID_20225,0.18937612857142858
EID_18673,0.18937612857142858
EID_11420,0.18937612857142858
EID_16631,0.18937612857142858
EID_21237,0.18937612857142858
EID_5015,0.18937612857142858
EID_20179,0.18937612857142858
EID_12073,0.18937612857142858
EID_21147,0.18937612857142858
EID_6714,0.18937612857142858
EID_10645,0.18937612857142858
EID_18298,0.18937612857142858
EID_2640,0.18937612857142858
EID_2318,0.18937612857142858
EID_25226,0.18937612857142858
EID_24099,0.18937612857142858
EID_20938,0.18937612857142858
EID_8377,0.18937612857142858
EID_7023,0.18937612857142858
EID_11385,0.18937612857142858
EID_15016,0.18937612857142858
EID_25794,0.18937612857142858
EID_11494,0.18937612857142858
EID_2425,0.18937612857142858
EID_9847,0.18937612857142858
EID_3570,0.18937612857142858
EID_13573,0.18937612857142858
EID_13780,0.18937612857142858
EID_2949,0.18937612857142858
EID_19834,0.18937612857142858
EID_11384,0.18937612857142858
EID_23154,0.18937612857142858
EID_9337,0.18937612857142858
EID_3653,0.18937612857142858
EID_4850,0.18937612857142858
EID_16283,0.18937612857142858
EID_5107,0.18937612857142858
EID_25156,0.18937612857142858
EID_17223,0.18937612857142858
EID_14695,0.18937612857142858
EID_11374,0.18937612857142858
EID_13672,0.18937612857142858
EID_6782,0.18937612857142858
EID_25074,0.18937612857142858
EID_21087,0.18937612857142858
EID_13017,0.18937612857142858
EID_9947,0.18937612857142858
EID_21221,0.18937612857142858
EID_21639,0.18937612857142858
EID_20333,0.18937612857142858
EID_2970,0.18937612857142858
EID_7624,0.18937612857142858
EID_15741,0.18937612857142858
EID_1312,0.18937612857142858
EID_19575,0.18937612857142858
EID_21047,0.18937612857142858
EID_11969,0.18937612857142858
EID_19145,0.18937612857142858
EID_9871,0.18937612857142858
EID_18852,0.18937612857142858
EID_22326,0.18937612857142858
EID_7259,0.18937612857142858
EID_21920,0.18937612857142858
EID_1436,0.18937612857142858
EID_8261,0.18937612857142858
EID_23228,0.18937612857142858
EID_5560,0.18937612857142858
EID_22357,0.18937612857142858
EID_4816,0.18937612857142858
EID_10000,0.18937612857142858
EID_21908,0.18937612857142858
EID_14887,0.18937612857142858
EID_12497,0.18937612857142858
EID_17976,0.18937612857142858
EID_17356,0.18937612857142858
EID_9785,0.18937612857142858
EID_16224,0.18937612857142858
EID_6020,0.18937612857142858
EID_20716,0.18937612857142858
EID_11351,0.18937612857142858
EID_20899,0.18937612857142858
EID_9718,0.18937612857142858
EID_9479,0.18937612857142858
EID_25048,0.18937612857142858
EID_23370,0.18937612857142858
EID_13877,0.18937612857142858
EID_12256,0.18937612857142858
EID_1903,0.18937612857142858
EID_8830,0.18937612857142858
EID_22060,0.18937612857142858
EID_11996,0.18937612857142858
EID_21061,0.18937612857142858
EID_22604,0.18937612857142858
EID_18463,0.18937612857142858
EID_11375,0.18937612857142858
EID_2685,0.18937612857142858
EID_16010,0.18937612857142858
EID_19288,0.18937612857142858
EID_9283,0.18937612857142858
EID_11122,0.18937612857142858
EID_6638,0.18937612857142858
EID_25516,0.18937612857142858
EID_3864,0.18937612857142858
EID_9746,0.18937612857142858
EID_8407,0.18937612857142858
EID_25463,0.18937612857142858
EID_23098,0.18937612857142858
EID_22512,0.18937612857142858
EID_14671,0.18937612857142858
EID_18482,0.18937612857142858
EID_8151,0.18937612857142858
EID_16624,0.18937612857142858
EID_1983,0.18937612857142858
EID_18445,0.18937612857142858
EID_11891,0.18937612857142858
EID_2010,0.18937612857142858
EID_4592,0.18937612857142858
EID_17412,0.18937612857142858
EID_24883,0.18937612857142858
EID_15661,0.18937612857142858
EID_11757,0.18937612857142858
EID_2627,0.18937612857142858
EID_13243,0.18937612857142858
EID_10917,0.18937612857142858
EID_4360,0.18937612857142858
EID_13536,0.18937612857142858
EID_10695,0.18937612857142858
EID_5746,0.18937612857142858
EID_1178,0.18937612857142858
EID_15290,0.18937612857142858
EID_3540,0.18937612857142858
EID_14684,0.18937612857142858
EID_7914,0.18937612857142858
EID_23733,0.18937612857142858
EID_5907,0.18937612857142858
EID_5142,0.18937612857142858
EID_7686,0.18937612857142858
EID_12078,0.18937612857142858
EID_4880,0.18937612857142858
EID_1527,0.18937612857142858
EID_15919,0.18937612857142858
EID_1260,0.18937612857142858
EID_22377,0.18937612857142858
EID_7876,0.18937612857142858
EID_1213,0.18937612857142858
EID_4161,0.18937612857142858
EID_3214,0.18937612857142858
EID_17651,0.18937612857142858
EID_8005,0.18937612857142858
EID_12852,0.18937612857142858
EID_21465,0.18937612857142858
EID_7371,0.18937612857142858
EID_25687,0.18937612857142858
EID_17222,0.18937612857142858
EID_1994,0.18937612857142858
EID_22384,0.18937612857142858
EID_6344,0.18937612857142858
EID_18801,0.18937612857142858
EID_13688,0.18937612857142858
EID_13779,0.18937612857142858
EID_24969,0.18937612857142858
EID_15311,0.18937612857142858
EID_9095,0.18937612857142858
EID_11675,0.18937612857142858
EID_14870,0.18937612857142858
EID_1575,0.18937612857142858
EID_7440,0.18937612857142858
EID_24259,0.18937612857142858
EID_19501,0.18937612857142858
EID_23743,0.18937612857142858
EID_13287,0.18937612857142858
EID_2226,0.18937612857142858
EID_22439,0.18937612857142858
EID_16078,0.18937612857142858
EID_18895,0.18937612857142858
EID_19860,0.18937612857142858
EID_24564,0.18937612857142858
EID_21747,0.18937612857142858
EID_4659,0.18937612857142858
EID_24149,0.18937612857142858
EID_13300,0.18937612857142858
EID_16950,0.18937612857142858
EID_23778,0.18937612857142858
EID_14691,0.18937612857142858
EID_10789,0.18937612857142858
EID_5525,0.18937612857142858
EID_19424,0.18937612857142858
EID_6171,0.18937612857142858
EID_19569,0.18937612857142858
EID_4602,0.18937612857142858
EID_17919,0.18937612857142858
EID_4286,0.18937612857142858
EID_1973,0.18937612857142858
EID_25715,0.18937612857142858
EID_23385,0.18937612857142858
EID_13681,0.18937612857142858
EID_25410,0.18937612857142858
EID_18267,0.18937612857142858
EID_15252,0.18937612857142858
EID_23214,0.18937612857142858
EID_18551,0.18937612857142858
EID_2401,0.18937612857142858
EID_7609,0.18937612857142858
EID_21291,0.18937612857142858
EID_10126,0.18937612857142858
EID_19714,0.18937612857142858
EID_4911,0.18937612857142858
EID_12505,0.18937612857142858
EID_10377,0.18937612857142858
EID_3407,0.18937612857142858
EID_3386,0.18937612857142858
EID_7623,0.18937612857142858
EID_19517,0.18937612857142858
EID_21782,0.18937612857142858
EID_12361,0.18937612857142858
EID_21171,0.18937612857142858
EID_17836,0.18937612857142858
EID_20286,0.18937612857142858
EID_25798,0.18937612857142858
EID_15699,0.18937612857142858
EID_17006,0.18937612857142858
EID_22476,0.18937612857142858
EID_9406,0.18937612857142858
EID_13559,0.18937612857142858
EID_1340,0.18937612857142858
EID_17848,0.18937612857142858
EID_20358,0.18937612857142858
EID_14265,0.18937612857142858
EID_9820,0.18937612857142858
EID_13755,0.18937612857142858
EID_13293,0.18937612857142858
EID_25837,0.18937612857142858
EID_20466,0.18937612857142858
EID_11032,0.18937612857142858
EID_2399,0.18937612857142858
EID_23917,0.18937612857142858
EID_17011,0.18937612857142858
EID_8967,0.18937612857142858
EID_24468,0.18937612857142858
EID_8435,0.18937612857142858
EID_17953,0.18937612857142858
EID_7140,0.18937612857142858
EID_24404,0.18937612857142858
EID_14380,0.18937612857142858
EID_1232,0.18937612857142858
EID_1573,0.18937612857142858
EID_3684,0.18937612857142858
EID_15824,0.18937612857142858
EID_9212,0.18937612857142858
EID_21121,0.18937612857142858
EID_6346,0.18937612857142858
EID_9525,0.18937612857142858
EID_9726,0.18937612857142858
EID_2526,0.18937612857142858
EID_4228,0.18937612857142858
EID_14595,0.18937612857142858
EID_15856,0.18937612857142858
EID_6768,0.18937612857142858
EID_23953,0.18937612857142858
EID_19059,0.18937612857142858
EID_5268,0.18937612857142858
EID_7619,0.18937612857142858
EID_23028,0.18937612857142858
EID_22104,0.18937612857142858
EID_10318,0.18937612857142858
EID_25369,0.18937612857142858
EID_16633,0.18937612857142858
EID_15848,0.18937612857142858
EID_2240,0.18937612857142858
EID_1059,0.18937612857142858
EID_9315,0.18937612857142858
EID_15388,0.18937612857142858
EID_9984,0.18937612857142858
EID_4296,0.18937612857142858
EID_10927,0.18937612857142858
EID_25054,0.18937612857142858
EID_1884,0.18937612857142858
EID_21960,0.18937612857142858
EID_5572,0.18937612857142858
EID_16872,0.18937612857142858
EID_24525,0.18937612857142858
EID_14237,0.18937612857142858
EID_7114,0.18937612857142858
EID_7448,0.18937612857142858
EID_17668,0.18937612857142858
EID_7674,0.18937612857142858
EID_5884,0.18937612857142858
EID_13942,0.18937612857142858
EID_13098,0.18937612857142858
EID_7695,0.18937612857142858
EID_5350,0.18937612857142858
EID_22853,0.18937612857142858
EID_2385,0.18937612857142858
EID_18006,0.18937612857142858
EID_12875,0.18937612857142858
EID_5478,0.18937612857142858
EID_18690,0.18937612857142858
EID_12545,0.18937612857142858
EID_13888,0.18937612857142858
EID_9732,0.18937612857142858
EID_18001,0.18937612857142858
EID_17479,0.18937612857142858
EID_23757,0.18937612857142858
EID_1303,0.18937612857142858
EID_5375,0.18937612857142858
EID_5869,0.18937612857142858
EID_8825,0.18937612857142858
EID_22567,0.18937612857142858
EID_16273,0.18937612857142858
EID_20618,0.18937612857142858
EID_3608,0.18937612857142858
EID_8806,0.18937612857142858
EID_23170,0.18937612857142858
